Date,Price,Open,High,Low
2020-08-18,1330.11,1321.38,1330.4,1321.07
2020-08-19,1308.67,1331.54,1332.79,1301.97
2020-08-20,1296.79,1296.37,1303.72,1292.59
2020-08-21,1299.26,1305.82,1307.64,1296.68
2020-08-24,1317.11,1305.22,1318.2,1299.05
2020-08-25,1315.99,1324.81,1327.42,1315.13
2020-08-26,1322.55,1317.74,1323.97,1311.14
2020-08-27,1326.81,1322.48,1331.64,1320.91
2020-08-28,1323.31,1335.3,1337.61,1319.45
2020-08-31,1310.66,1328.7,1333.3,1308.73
2020-09-01,1305.57,1312.75,1316.68,1301.14
2020-09-02,1315.88,1304.7,1316.08,1301.78
2020-09-03,1311.95,1320.63,1322.66,1308.84
2020-09-04,1311.95,1320.63,1322.66,1308.84
2020-09-07,1311.95,1320.63,1322.66,1308.84
2020-09-08,1293.8,1305.64,1305.85,1293.33
2020-09-09,1293.4,1279.24,1295.55,1276.38
2020-09-10,1290.89,1295.01,1298.33,1286.15
2020-09-11,1279.96,1290.16,1296.13,1279.33
2020-09-14,1272.34,1285.16,1287.35,1270.59
2020-09-15,1286.18,1276.93,1287.04,1274.62
2020-09-16,1293.48,1287.01,1295.8,1284.09
2020-09-17,1284.4,1289.6,1292.42,1280.11
2020-09-18,1288.39,1287.74,1293.29,1280.43
2020-09-21,1275.16,1293.77,1295.35,1273.44
2020-09-22,1267.63,1271.36,1275.27,1262.41
2020-09-23,1264.01,1271.19,1272.59,1260.64
2020-09-24,1247.46,1255.79,1260.31,1241.52
2020-09-25,1244.94,1251.67,1256.4,1241.66
2020-09-28,1263.02,1251.23,1264.5,1251.12
2020-09-29,1257.34,1266.77,1267.67,1254.34
2020-09-30,1237.04,1259.08,1260.06,1236.53
2020-10-01,1247.59,1244.23,1251.11,1232.81
2020-10-02,1237.54,1245.11,1246.78,1231.11
2020-10-05,1242.99,1245.79,1248.67,1239.06
2020-10-06,1250.15,1251.89,1257.46,1249.14
2020-10-07,1263.71,1248.25,1264.29,1245.09
2020-10-08,1274.83,1269.85,1282.65,1269.5
2020-10-09,1267.14,1279.79,1280.81,1264.24
2020-10-12,1273.43,1269.5,1277.64,1265.27
2020-10-13,1273.43,1269.5,1277.64,1265.27
2020-10-14,1263.99,1269.49,1271.1,1257.84
2020-10-15,1242.96,1255.05,1258.09,1240.75
2020-10-16,1233.68,1245.4,1247.89,1226.95
2020-10-19,1208.75,1221.88,1223.15,1205.61
2020-10-20,1210.67,1205.33,1219.16,1202.03
2020-10-21,1216.48,1217.1,1222.62,1211.85
2020-10-22,1213.61,1214.63,1223.48,1204.73
2020-10-23,1213.61,1214.63,1223.48,1204.73
2020-10-26,1207.97,1212.49,1215.79,1205.81
2020-10-27,1208.95,1201.45,1212.03,1197.74
2020-10-28,1207.94,1207.42,1217.88,1205.88
2020-10-29,1201.64,1200.43,1206.84,1195.99
2020-10-30,1194.95,1204.05,1204.99,1187.49
2020-11-02,1202.16,1196.64,1202.55,1191.44
2020-11-03,1221.33,1210.06,1222.78,1209.9
2020-11-04,1222.44,1223.67,1231.05,1214.49
2020-11-05,1264.32,1234.61,1266.58,1232.72
2020-11-06,1260.08,1265.84,1270.22,1251.08
2020-11-09,1285.88,1281.41,1293.9,1277.52
2020-11-10,1341.24,1330.14,1346.72,1313.04
2020-11-11,1345.34,1353.65,1356.83,1331.39
2020-11-12,1336.31,1340.43,1341.57,1327.17
2020-11-13,1346.47,1330.49,1352.51,1327.73
2020-11-16,1351.06,1360.94,1365.87,1351.04
2020-11-17,1349.81,1356.41,1365.91,1344.55
2020-11-18,1364.59,1345.76,1364.64,1341.46
2020-11-19,1369.42,1363.58,1375.02,1362.41
2020-11-20,1389.34,1369.96,1390.37,1368.2
2020-11-23,1420.43,1397.53,1422.43,1395.58
2020-11-24,1401.63,1429.44,1432.56,1401.29
2020-11-25,1415.72,1416.84,1428.36,1392.42
2020-11-26,1433.56,1420.96,1433.57,1416.79
2020-11-27,1437.78,1431.26,1444.53,1429.43
2020-11-30,1408.31,1429.99,1435.04,1408.02
2020-12-01,1420.87,1418.06,1430.03,1416.39
2020-12-02,1417.95,1416.58,1430.49,1415.1
2020-12-03,1438.32,1424.16,1439.22,1420.69
2020-12-04,1449.83,1439.82,1454.94,1439.14
2020-12-07,1449.83,1439.82,1454.94,1439.14
2020-12-08,1478.92,1448.08,1484.73,1442.65
2020-12-09,1482.67,1490.77,1503.89,1474.83
2020-12-10,1482.67,1490.77,1503.89,1474.83
2020-12-11,1482.67,1490.77,1503.89,1474.83
2020-12-14,1476.13,1491.87,1495.18,1471.56
2020-12-15,1477.21,1468.22,1478.61,1459.97
2020-12-16,1482.09,1487.28,1488.86,1475.09
2020-12-17,1483.89,1487.7,1495.37,1483.32
2020-12-18,1482.38,1485.27,1489.78,1475.01
2020-12-21,1401.78,1429.5,1453.88,1401.58
2020-12-22,1424.39,1405.42,1428.11,1388.23
2020-12-23,1416.02,1422.59,1440.52,1414.21
2020-12-24,1451.52,1420.6,1453.87,1409.75
2020-12-25,1486.31,1463.32,1486.84,1462.77
2020-12-28,1452.67,1505.15,1512.99,1452.48
2020-12-29,1461.95,1452.39,1468.6,1440.59
2020-12-30,1449.35,1467.74,1479.04,1445.36
2020-12-31,1449.35,1467.74,1479.04,1445.36
2021-01-01,1449.35,1467.74,1479.04,1445.36
2021-01-04,1468.24,1428.8,1468.27,1425.48
2021-01-05,1506.65,1467.89,1506.66,1466.05
2021-01-06,1492.36,1506.56,1514.89,1485.79
2021-01-07,1513.78,1510.64,1519.91,1502.81
2021-01-08,1536.44,1528.12,1538.61,1521.17
2021-01-11,1536.49,1539.79,1550.75,1527.75
2021-01-12,1539.85,1536.75,1542.65,1528.5
2021-01-13,1547.31,1548.3,1561.66,1542.42
2021-01-14,1535.98,1545.35,1552.78,1533.52
2021-01-15,1519.13,1537.03,1544.11,1513.48
2021-01-18,1510.13,1511.04,1515.51,1503.04
2021-01-19,1522.59,1519.37,1529.17,1518.66
2021-01-20,1515.72,1524.91,1529.5,1511.41
2021-01-21,1513.51,1525.63,1529.27,1510.8
2021-01-22,1497.88,1508.92,1518.05,1494.45
2021-01-25,1501.62,1498.36,1505.47,1491.63
2021-01-26,1512.83,1497.03,1514.82,1490.37
2021-01-27,1498.13,1510.68,1515.32,1498.05
2021-01-28,1468.51,1482.5,1492,1467.74
2021-01-29,1466.98,1478.76,1480.44,1455.55
2021-02-01,1478.05,1465.76,1481.66,1456.45
2021-02-02,1486.25,1491.02,1496.46,1480.5
2021-02-03,1481.75,1498.5,1500.17,1481.69
2021-02-04,1482.98,1486.5,1492.39,1477.88
2021-02-05,1496.61,1491.07,1498.35,1488.73
2021-02-08,1516.43,1508.45,1517.31,1507.09
2021-02-09,1518.27,1524.58,1529.49,1516.5
2021-02-10,1516.94,1526.34,1527.88,1513.13
2021-02-11,1508.35,1520.68,1521.31,1503.19
2021-02-12,1508.35,1520.68,1521.31,1503.19
2021-02-15,1522.72,1515.91,1529.98,1513.33
2021-02-16,1523.11,1528.43,1531.29,1522.41
2021-02-17,1514.91,1519.74,1528.58,1513.96
2021-02-18,1511.03,1519.79,1524.11,1510.77
2021-02-19,1500.51,1504.98,1507.63,1493.52
2021-02-22,1478.14,1504.65,1505.47,1476.5
2021-02-23,1500.61,1487.53,1506.94,1486.18
2021-02-24,1491.11,1503.56,1507.78,1485.94
2021-02-25,1496.78,1508.82,1511.3,1494.36
2021-02-26,1496.78,1508.82,1511.3,1494.36
